,-20 dB,-10 dB,0 dB,10 dB,20 dB,30 dB
KNN,0.04212962962962963,0.05185185185185185,0.18564814814814815,0.29074074074074074,0.28564814814814815,0.31296296296296294
MLP,0.044444444444444446,0.08981481481481482,0.1962962962962963,0.2689814814814815,0.26851851851851855,0.2574074074074074
CNN,0.03981481481481482,0.1037037037037037,0.5231481481481481,0.8518518518518519,0.8708333333333333,0.8763888888888889
