Modelo,Accuracy,Precisão (macro),Recall (macro),F1-score (macro),MCC,Cohen's κ,Tempo de treino (s),Parâmetros / custo
KNN,0.2011574074074074,0.23066013630474802,0.2011574074074074,0.19449213597100834,0.17359087591200428,0.1664251207729469,0.19755244255065918,"262,080 amostras armazenadas"
MLP,0.194480056980057,0.19755034971735405,0.194480056980057,0.16983574679297617,0.17054938349262877,0.15945745076179862,45.845173835754395,"1,188,120 parâmetros"
CNN,0.5532407407407407,0.614278276918626,0.5532407407407407,0.5639559622333308,0.5359020079486944,0.5338164251207729,1005.6010830402374,"106,072 parâmetros"
